w,dapi,mito,alexa
422,0.55479800701141,0.0,0.0
423,0.57346600294113,0.0,0.0
424,0.58758699893951,0.0,0.0
425,0.61186897754669,0.0,0.0
426,0.62798798084259,0.0,0.0
427,0.648756980896,0.0,0.0
428,0.67100602388382,0.0,0.0
429,0.69649398326874,0.0,0.0
430,0.71316397190094,0.0,0.0
431,0.73775601387024,0.0,0.0
432,0.75063699483871,0.0,0.0
433,0.77144002914429,0.0,0.0
434,0.79045301675797,0.0,0.0
435,0.80801802873611,0.0,0.0
436,0.82090002298355,0.0,0.0
437,0.8372939825058,0.0,0.0
438,0.84783399105072,0.0,0.0
439,0.85692602396011,0.0,0.0
440,0.86977297067642,0.0,0.0
441,0.89660400152206,0.0,0.0
442,0.91289502382278,0.0,0.0
443,0.91320502758026,0.0,0.0
444,0.92742997407913,0.0,0.0
445,0.94372099637985,0.0,0.0
446,0.94372099637985,0.0,0.0
447,0.95081597566605,0.0,0.0
448,0.95853102207184,0.0,0.0
449,0.96621197462082,0.0,0.0
450,0.96324998140335,0.0,0.0
451,0.9700700044632,0.0,0.0
452,0.97482299804688,0.0,0.0
453,0.97806000709534,0.0,0.0
454,0.99273300170898,0.0,0.0
455,0.9882550239563,0.0,0.0
456,0.99304300546646,0.0,0.0
457,0.99572902917862,0.0,0.0
458,0.98794502019882,0.0,0.0
459,0.9932489991188,0.0,0.0
460,0.99410998821259,0.0,0.0
461,1.0,0.0,0.0
462,0.9913210272789,0.0,0.0
463,0.99889802932739,0.0,0.0
464,0.99813997745514,0.0,0.0
465,0.9883239865303,0.0,0.0
466,0.99104499816895,0.0,0.0
467,0.97985100746155,0.0,0.0
468,0.98164200782776,0.0,0.0
469,0.97158497571945,0.0,0.0
470,0.96982800960541,0.0,0.0
471,0.96132099628448,0.0,0.0
472,0.95281398296356,0.0,0.0
473,0.94265300035477,0.0,0.0
474,0.93056398630142,0.0,0.0
475,0.92401999235153,0.0,0.0
476,0.9138600230217,0.0,0.0
477,0.90766000747681,0.0,0.0
478,0.91127699613571,0.0,0.0
479,0.90101301670074,0.0,0.0
480,0.89374500513077,0.0,0.0
481,0.87256300449371,0.0,0.0
482,0.8656399846077,0.0,0.0
483,0.84156501293182,0.0,0.0
484,0.83471101522446,0.0,0.0
485,0.82389599084854,0.0,0.0
486,0.81635302305222,0.0,0.0
487,0.80261099338531,0.0,0.0
488,0.79117602109909,0.0,0.0
489,0.78235900402069,0.0,0.0
490,0.78067100048065,0.0,0.0
491,0.77075201272964,0.0,0.0
492,0.75091302394867,0.0,0.0
493,0.73965001106262,0.0,0.0
494,0.73072999715805,0.0,0.0
495,0.71981102228165,0.0,0.0
496,0.70692998170853,0.0,0.0
497,0.6910520195961,0.0,0.0
498,0.68623000383377,0.0,0.0
499,0.67586302757263,0.0,0.0
500,0.66752797365189,0.0,0.0
501,0.64813697338104,0.0,0.0
502,0.646723985672,0.0,0.0
503,0.63253402709961,0.0,0.0
504,0.6180340051651,0.0,0.0
